address	type	length	references	value
1800f1d89	string	13	0	failureCount
1800f1d97	string	9	0	function
1800f1da1	string	19	0	CollectionIdsCount
1800f1dc4	string	26	0	EspEnumerateCollectionIds
1800f1dde	string	15	0	PartA_PrivTags
1800f1ded	string	13	0	 wilActivity
1800f1dfc	string	9	0	threadId
1800f1e06	string	9	0	ClientId
1800f1e10	string	9	0	Lifetime
1800f1e29	string	26	0	EspEnumerateCollectionIds
1800f1e43	string	15	0	PartA_PrivTags
1800f1e52	string	13	0	 wilActivity
1800f1e61	string	8	0	hresult
1800f1e6a	string	9	0	threadId
1800f1e83	string	26	0	EspEnumerateCollectionIds
1800f1e9d	string	15	0	PartA_PrivTags
1800f1eac	string	16	0	 PartA_PrivTags
1800f1ebc	string	13	0	 wilActivity
1800f1ecb	string	8	0	hresult
1800f1ed4	string	9	0	fileName
1800f1ede	string	11	0	lineNumber
1800f1eea	string	7	0	module
1800f1ef2	string	12	0	failureType
1800f1eff	string	8	0	message
1800f1f08	string	9	0	threadId
1800f1f12	string	12	0	callContext
1800f1f1f	string	21	0	originatingContextId
1800f1f35	string	23	0	originatingContextName
1800f1f4d	string	26	0	originatingContextMessage
1800f1f68	string	17	0	currentContextId
1800f1f7a	string	19	0	currentContextName
1800f1f8e	string	22	0	currentContextMessage
1800f1fa5	string	10	0	failureId
1800f1fb0	string	13	0	failureCount
1800f1fbe	string	9	0	function
1800f1fd7	string	18	0	EspOpenCollection
1800f1fe9	string	15	0	PartA_PrivTags
1800f1ff8	string	13	0	 wilActivity
1800f2007	string	9	0	threadId
1800f2011	string	9	0	ClientId
1800f201b	string	13	0	CollectionId
1800f2038	string	18	0	EspOpenCollection
1800f204a	string	15	0	PartA_PrivTags
1800f2059	string	13	0	 wilActivity
1800f2068	string	8	0	hresult
1800f2071	string	9	0	threadId
1800f208a	string	18	0	EspOpenCollection
1800f209c	string	15	0	PartA_PrivTags
1800f20ab	string	16	0	 PartA_PrivTags
1800f20bb	string	13	0	 wilActivity
1800f20ca	string	8	0	hresult
1800f20d3	string	9	0	fileName
1800f20dd	string	11	0	lineNumber
1800f20e9	string	7	0	module
1800f20f1	string	12	0	failureType
1800f20fe	string	8	0	message
1800f2107	string	9	0	threadId
1800f2111	string	12	0	callContext
1800f211e	string	21	0	originatingContextId
1800f2134	string	23	0	originatingContextName
1800f214c	string	26	0	originatingContextMessage
1800f2167	string	17	0	currentContextId
1800f2179	string	19	0	currentContextName
1800f218d	string	22	0	currentContextMessage
1800f21a4	string	10	0	failureId
1800f21af	string	13	0	failureCount
1800f21bd	string	9	0	function
1800f21d6	string	21	0	EspGetCollectionType
1800f21eb	string	15	0	PartA_PrivTags
