1800c90b0	EspIsRegistryKeyPropertySupported	ulonglong __fastcall EspIsRegistryKeyPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c92d0	EspIsDiskPropertySupported	ulonglong __fastcall EspIsDiskPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c94f0	EspIsVolumePropertySupported	ulonglong __fastcall EspIsVolumePropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c9710	EspIsFileObjectPropertySupported	ulonglong __fastcall EspIsFileObjectPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c9930	EspIsFilePropertySupported	ulonglong __fastcall EspIsFilePropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c9b50	EspIsFileStreamPropertySupported	ulonglong __fastcall EspIsFileStreamPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c9d70	EspIsProcessPropertySupported	ulonglong __fastcall EspIsProcessPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c9f90	EspIsThreadPropertySupported	ulonglong __fastcall EspIsThreadPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800ca1b0	EspCreateThreadTokenReference	long __fastcall EspCreateThreadTokenReference(longlong * param_1, uint param_2, undefined8 * param_3)
1800ca470	EspCreateProcessTokenReference	long __fastcall EspCreateProcessTokenReference(longlong * param_1, uint param_2, undefined8 * param_3)
1800ca730	EspCreateProcessReference	long __fastcall EspCreateProcessReference(longlong * param_1, uint param_2, undefined8 * param_3)
1800ca9f0	EspCreateThreadReference	long __fastcall EspCreateThreadReference(longlong * param_1, uint param_2, undefined8 * param_3)
1800cacb0	EspGetEventCapabilities	ulonglong __fastcall EspGetEventCapabilities(longlong * param_1, uint param_2, uint * param_3)
1800caf70	EspFreeMemory	undefined __fastcall EspFreeMemory(void * param_1)
1800cb090	EspQueryDesktopProperties	long __fastcall EspQueryDesktopProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cb230	EspQueryClientProperties	ulonglong __fastcall EspQueryClientProperties(longlong * param_1, uint param_2, uint * param_3, undefined8 * param_4)
1800cb570	EspQueryTokenProperties	long __fastcall EspQueryTokenProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cb710	EspQueryMailslotProperties	long __fastcall EspQueryMailslotProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cb8b0	EspQueryPipeProperties	long __fastcall EspQueryPipeProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cba50	EspQueryDiskProperties	long __fastcall EspQueryDiskProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cbbf0	EspQueryKtmTransactionProperties	long __fastcall EspQueryKtmTransactionProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cbd90	EspQueryVolumeProperties	long __fastcall EspQueryVolumeProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cbf30	EspQueryFileProperties	long __fastcall EspQueryFileProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc0d0	EspQueryFileStreamProperties	long __fastcall EspQueryFileStreamProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc270	EspQueryFileObjectProperties	long __fastcall EspQueryFileObjectProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc410	EspQueryRegistryKeyObjectProperties	long __fastcall EspQueryRegistryKeyObjectProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc5b0	EspQueryRegistryKeyProperties	long __fastcall EspQueryRegistryKeyProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc750	EspQueryThreadProperties	long __fastcall EspQueryThreadProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cc8f0	EspQueryProcessProperties	long __fastcall EspQueryProcessProperties(ESP_EVENT_OBJECT__ * param_1, uint param_2, uint * param_3, ESP_PROPERTY * * param_4)
1800cca90	EspCloseEventObjectReference	long __fastcall EspCloseEventObjectReference(longlong * param_1)
1800ccd30	EspGetEventObjectFromReference	undefined8 __fastcall EspGetEventObjectFromReference(longlong * param_1, longlong * param_2)
1800ccf20	EspDuplicateEventObjectReference	ulonglong __fastcall EspDuplicateEventObjectReference(longlong * param_1, undefined8 * param_2)
1800cd3c0	EspCreateEventObjectReferenceById	long __fastcall EspCreateEventObjectReferenceById(longlong * param_1, _RefCountBase * param_2, undefined8 * param_3)
1800cd680	EspCreateEventObjectReference	long __fastcall EspCreateEventObjectReference(undefined8 * param_1, undefined8 * param_2)
1800cd8b0	EspEnumerateAllEventObjectContextKeys	long __fastcall EspEnumerateAllEventObjectContextKeys(longlong * param_1, uint * param_2, void * * param_3)
1800cdb40	EspEnumerateAllClientContextKeys	int __fastcall EspEnumerateAllClientContextKeys(uchar[8] * param_1, uint * param_2, void * * param_3)
1800cde50	EspSetClientContextKey	ulonglong __fastcall EspSetClientContextKey(longlong * param_1, int * param_2)
1800ce0e0	EspSetEventObjectContextKey	ulonglong __fastcall EspSetEventObjectContextKey(longlong * param_1, int * param_2)
1800ce2e0	EspGetEventObjectType	undefined8 __fastcall EspGetEventObjectType(longlong param_1, uint * param_2)
