caller_address	caller	callsite	callee_address	callee
180001340	wesp::impl$0::main	1800042a2	18002fad0	static_cleanup::impl$1::drop<nt_types::arc::Arc<wesp::EspState>_>
180001340	wesp::impl$0::main	1800042a7	180417264	EspFltUninitialize
180001340	wesp::impl$0::main	1800042af	1803b40d6	FltUnregisterFilter
180001340	wesp::impl$0::main	1800042c3	180004a00	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>
180001340	wesp::impl$0::main	1800042d8	180009bb0	fltmgr::Filter::start_filtering
180001340	wesp::impl$0::main	18000435a	1803b41f5	ZwClose
180004440	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionEntries>_>	180004483	1803b4201	ExFreePool
180004440	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionEntries>_>	1800044b3	1803b4201	ExFreePool
180004440	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionEntries>_>	1800044da	1803b4201	ExFreePool
1800044f0	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionUpdates>_>	180004533	1803b4201	ExFreePool
1800044f0	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionUpdates>_>	180004563	1803b4201	ExFreePool
1800044f0	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionUpdates>_>	18000458a	1803b4201	ExFreePool
180004840	core::ptr::drop_in_place<wesp_lib::incoming::collection::Collection>	1800048a3	1803b4201	ExFreePool
180004840	core::ptr::drop_in_place<wesp_lib::incoming::collection::Collection>	1800048e3	1803b4201	ExFreePool
180004840	core::ptr::drop_in_place<wesp_lib::incoming::collection::Collection>	180004908	1803b4201	ExFreePool
180004920	core::ptr::drop_in_place<enum2$<wesp_lib::property_query::OwnedPropertyQuery>_>	18000492b	1803b4201	ExFreePool
180004940	core::ptr::drop_in_place<wesp_lib::context_key::update::ContextKeyUpdate>	180004979	1803b4201	ExFreePool
180004940	core::ptr::drop_in_place<wesp_lib::context_key::update::ContextKeyUpdate>	180004986	1803b4201	ExFreePool
180004a00	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>	180004a17	1803b4219	ExUnsubscribeWnfStateChange
180004a00	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>	180004a2e	1803b55e0	_guard_dispatch_icall
180004a00	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>	180004a3e	1803b4201	ExFreePool
180004a00	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>	180004a4d	1803b4201	ExFreePool
180004a60	wesp::server::write_array<wesp_api_types::typedefs::_GUID,buffer::User>	180004ae7	1803b53a0	copy_user_memory
180004a60	wesp::server::write_array<wesp_api_types::typedefs::_GUID,buffer::User>	180004b35	1803b53a0	copy_user_memory
180004a60	wesp::server::write_array<wesp_api_types::typedefs::_GUID,buffer::User>	180004b66	1803b55b0	__security_check_cookie
180004b80	wesp::server::impl$0::message<buffer::User,buffer::User>	180004c52	1803b42ca	EtwActivityIdControl
180004b80	wesp::server::impl$0::message<buffer::User,buffer::User>	180004d1b	1803b41d7	EtwWriteTransfer
180007ba0	buffer::impl$1::write_at_offset	180007bde	1803b53a0	copy_user_memory
180007c00	buffer::impl$1::write_ptr_to_offset	180007c86	1803b53a0	copy_user_memory
180007c00	buffer::impl$1::write_ptr_to_offset	180007cac	1803b55b0	__security_check_cookie
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007d15	1803b434a	ZwQuerySecurityObject
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007d61	1803b6ae0	alloc::raw_vec::RawVecInner<alloc::alloc::Global>::finish_grow<alloc::alloc::Global>
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007d87	1803b434a	ZwQuerySecurityObject
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007d96	1803b4201	ExFreePool
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007dc8	1803b55b0	__security_check_cookie
180007cc0	cm::CmKeyHandle::query_security_descriptor	180007e0c	1803b4201	ExFreePool
180007e20	FUN_180007e20	180007e2d	180008070	FUN_180008070
180007e40	FUN_180007e40	180007e51	180007e80	FUN_180007e80
180007e80	FUN_180007e80	180007ef8	1803b55e0	_guard_dispatch_icall
180007e80	FUN_180007e80	180007f43	1803b55e0	_guard_dispatch_icall
180007e80	FUN_180007e80	180007fe9	1803b55e0	_guard_dispatch_icall
180007e80	FUN_180007e80	18000801a	1803b55b0	__security_check_cookie
180007e80	FUN_180007e80	180008050	1803b55b0	__security_check_cookie
180008a00	FUN_180008a00	180008a85	180008ca0	FUN_180008ca0
180008a00	FUN_180008a00	180008b5e	180008ca0	FUN_180008ca0
180008a00	FUN_180008a00	180008b92	1803b55e0	_guard_dispatch_icall
180008a00	FUN_180008a00	180008bac	1803b55e0	_guard_dispatch_icall
180008ca0	FUN_180008ca0	180008ccc	1803b55e0	_guard_dispatch_icall
180008d10	FUN_180008d10	180008da7	1803b55e0	_guard_dispatch_icall
180008d10	FUN_180008d10	180008f9c	1803b55e0	_guard_dispatch_icall
180008fe0	FUN_180008fe0	180009019	1803b55e0	_guard_dispatch_icall
180009060	FUN_180009060	18000906d	180007e80	FUN_180007e80
180009080	FUN_180009080	180009191	180008a00	FUN_180008a00
180009080	FUN_180009080	18000919f	1803b55b0	__security_check_cookie
1800091b0	FUN_1800091b0	1800091ee	1803b55b0	__security_check_cookie
1800091b0	FUN_1800091b0	18000924d	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	180009268	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	18000928e	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	1800092a5	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	1800092d5	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	18000931b	180008d10	FUN_180008d10
1800091b0	FUN_1800091b0	180009339	180008d10	FUN_180008d10
1800091b0	FUN_1800091b0	180009350	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	180009377	1803b55e0	_guard_dispatch_icall
1800091b0	FUN_1800091b0	180009377	180008d10	FUN_180008d10
180009390	FUN_180009390	1800093e1	1803b55e0	_guard_dispatch_icall
180009390	FUN_180009390	18000940a	1800091b0	FUN_1800091b0
180009390	FUN_180009390	180009423	1800091b0	FUN_1800091b0
180009390	FUN_180009390	18000944c	1800091b0	FUN_1800091b0
180009390	FUN_180009390	1800094a4	1803b55e0	_guard_dispatch_icall
180009390	FUN_180009390	1800094b6	1803b55b0	__security_check_cookie
