address	name	signature
EXTERNAL:0000009e	NTOSKRNL.EXE::PsReferenceImpersonationToken	undefined PsReferenceImpersonationToken(void)
EXTERNAL:0000009f	NTOSKRNL.EXE::CmSetCallbackObjectContext	undefined CmSetCallbackObjectContext(void)
EXTERNAL:000000a0	NTOSKRNL.EXE::PsReferenceProcessFilePointer	undefined PsReferenceProcessFilePointer(void)
EXTERNAL:000000a1	NTOSKRNL.EXE::PsGetProcessInheritedFromUniqueProcessId	undefined PsGetProcessInheritedFromUniqueProcessId(void)
EXTERNAL:000000a7	NTOSKRNL.EXE::RtlIntegerToUnicodeString	undefined RtlIntegerToUnicodeString(void)
EXTERNAL:000000a8	NTOSKRNL.EXE::ZwCreateKeyTransacted	undefined ZwCreateKeyTransacted(void)
EXTERNAL:000000a9	NTOSKRNL.EXE::ZwDeleteValueKey	undefined ZwDeleteValueKey(void)
EXTERNAL:000000aa	NTOSKRNL.EXE::__chkstk	undefined __chkstk(void)
EXTERNAL:000000ab	NTOSKRNL.EXE::IoThreadToProcess	undefined IoThreadToProcess(void)
EXTERNAL:000000ac	NTOSKRNL.EXE::ZwQueryInformationThread	undefined ZwQueryInformationThread(void)
EXTERNAL:000000ad	NTOSKRNL.EXE::ZwOpenSymbolicLinkObject	undefined ZwOpenSymbolicLinkObject(void)
EXTERNAL:000000ae	NTOSKRNL.EXE::ZwQuerySymbolicLinkObject	undefined ZwQuerySymbolicLinkObject(void)
EXTERNAL:000000af	NTOSKRNL.EXE::RtlQueryPackageIdentity	undefined RtlQueryPackageIdentity(void)
EXTERNAL:000000b1	NTOSKRNL.EXE::RtlCompareUnicodeString	undefined RtlCompareUnicodeString(void)
EXTERNAL:000000b2	NTOSKRNL.EXE::RtlGetGroupSecurityDescriptor	undefined RtlGetGroupSecurityDescriptor(void)
EXTERNAL:000000b3	NTOSKRNL.EXE::RtlGetOwnerSecurityDescriptor	undefined RtlGetOwnerSecurityDescriptor(void)
EXTERNAL:000000b4	NTOSKRNL.EXE::ZwEnumerateKey	undefined ZwEnumerateKey(void)
EXTERNAL:000000b5	NTOSKRNL.EXE::ZwOpenKeyTransacted	undefined ZwOpenKeyTransacted(void)
EXTERNAL:000000b6	NTOSKRNL.EXE::ZwDeleteKey	undefined ZwDeleteKey(void)
EXTERNAL:000000b7	NTOSKRNL.EXE::ProbeForWrite	undefined ProbeForWrite(void)
EXTERNAL:000000b8	NTOSKRNL.EXE::ObfReferenceObject	undefined ObfReferenceObject(void)
EXTERNAL:000000ba	NTOSKRNL.EXE::KeGetCurrentIrql	undefined KeGetCurrentIrql(void)
EXTERNAL:000000bb	NTOSKRNL.EXE::ZwQuerySecurityObject	undefined ZwQuerySecurityObject(void)
EXTERNAL:000000bc	NTOSKRNL.EXE::KeInitializeEvent	undefined KeInitializeEvent(void)
EXTERNAL:000000bd	NTOSKRNL.EXE::KeWaitForSingleObject	undefined KeWaitForSingleObject(void)
EXTERNAL:000000be	NTOSKRNL.EXE::ExReleasePushLockExclusiveEx	undefined ExReleasePushLockExclusiveEx(void)
EXTERNAL:000000bf	NTOSKRNL.EXE::ExAcquirePushLockExclusiveEx	undefined ExAcquirePushLockExclusiveEx(void)
EXTERNAL:000000c0	NTOSKRNL.EXE::KeLeaveCriticalRegion	undefined KeLeaveCriticalRegion(void)
EXTERNAL:000000c1	NTOSKRNL.EXE::ExReleasePushLockSharedEx	undefined ExReleasePushLockSharedEx(void)
EXTERNAL:000000c2	NTOSKRNL.EXE::ExAcquirePushLockSharedEx	undefined ExAcquirePushLockSharedEx(void)
EXTERNAL:000000c3	NTOSKRNL.EXE::KeEnterCriticalRegion	undefined KeEnterCriticalRegion(void)
EXTERNAL:000000c4	NTOSKRNL.EXE::ZwQueryValueKey	undefined ZwQueryValueKey(void)
EXTERNAL:000000c5	NTOSKRNL.EXE::ExQueryWnfStateData	undefined ExQueryWnfStateData(void)
EXTERNAL:000000c6	NTOSKRNL.EXE::ExSubscribeWnfStateChange	undefined ExSubscribeWnfStateChange(void)
EXTERNAL:000000c7	NTOSKRNL.EXE::ExReleaseRundownProtection	undefined ExReleaseRundownProtection(void)
EXTERNAL:000000c8	NTOSKRNL.EXE::ObfDereferenceObject	undefined ObfDereferenceObject(void)
EXTERNAL:000000c9	NTOSKRNL.EXE::ExDeleteLookasideListEx	undefined ExDeleteLookasideListEx(void)
EXTERNAL:000000ca	NTOSKRNL.EXE::ExInitializeLookasideListEx	undefined ExInitializeLookasideListEx(void)
EXTERNAL:000000cb	NTOSKRNL.EXE::ZwCreateKey	undefined ZwCreateKey(void)
EXTERNAL:000000cc	NTOSKRNL.EXE::ExAllocatePool2	undefined ExAllocatePool2(void)
EXTERNAL:000000cd	NTOSKRNL.EXE::ExInitializePushLock	undefined ExInitializePushLock(void)
EXTERNAL:000000ce	NTOSKRNL.EXE::ZwOpenKey	undefined ZwOpenKey(void)
EXTERNAL:000000cf	NTOSKRNL.EXE::EtwActivityIdControl	undefined EtwActivityIdControl(void)
EXTERNAL:000000d0	NTOSKRNL.EXE::EtwSetInformation	undefined EtwSetInformation(void)
EXTERNAL:000000d1	NTOSKRNL.EXE::EtwRegister	undefined EtwRegister(void)
EXTERNAL:000000d2	NTOSKRNL.EXE::ExBlockOnAddressPushLock	undefined ExBlockOnAddressPushLock(void)
EXTERNAL:000000d3	NTOSKRNL.EXE::ExUnblockOnAddressPushLockEx	undefined ExUnblockOnAddressPushLockEx(void)
EXTERNAL:000000d4	NTOSKRNL.EXE::ExInitializeRundownProtection	undefined ExInitializeRundownProtection(void)
EXTERNAL:000000d5	NTOSKRNL.EXE::RtlQueryFeatureConfiguration	undefined RtlQueryFeatureConfiguration(void)
EXTERNAL:000000d7	NTOSKRNL.EXE::KeBugCheckEx	noreturn undefined KeBugCheckEx(void)
EXTERNAL:000000d8	NTOSKRNL.EXE::ExUnsubscribeWnfStateChange	undefined ExUnsubscribeWnfStateChange(void)
EXTERNAL:000000d9	NTOSKRNL.EXE::ExRundownCompleted	undefined ExRundownCompleted(void)
EXTERNAL:000000da	NTOSKRNL.EXE::ExWaitForRundownProtectionRelease	undefined ExWaitForRundownProtectionRelease(void)
EXTERNAL:000000db	NTOSKRNL.EXE::EtwUnregister	undefined EtwUnregister(void)
EXTERNAL:000000dc	NTOSKRNL.EXE::ExFreePool	undefined ExFreePool(void)
EXTERNAL:000000dd	NTOSKRNL.EXE::CmUnRegisterCallback	undefined CmUnRegisterCallback(void)
EXTERNAL:000000de	NTOSKRNL.EXE::ZwClose	undefined ZwClose(void)
EXTERNAL:000000df	NTOSKRNL.EXE::ObUnRegisterCallbacks	undefined ObUnRegisterCallbacks(void)
EXTERNAL:000000e0	NTOSKRNL.EXE::PsSetCreateProcessNotifyRoutineEx2	undefined PsSetCreateProcessNotifyRoutineEx2(void)
EXTERNAL:000000e1	NTOSKRNL.EXE::PsRemoveCreateThreadNotifyRoutine	undefined PsRemoveCreateThreadNotifyRoutine(void)
EXTERNAL:000000e2	NTOSKRNL.EXE::PsRemoveLoadImageNotifyRoutine	undefined PsRemoveLoadImageNotifyRoutine(void)
EXTERNAL:000000e3	NTOSKRNL.EXE::EtwWriteTransfer	undefined EtwWriteTransfer(void)
EXTERNAL:000000e4	NTOSKRNL.EXE::KeAreAllApcsDisabled	undefined KeAreAllApcsDisabled(void)
EXTERNAL:000000e5	NTOSKRNL.EXE::ZwOpenEvent	undefined ZwOpenEvent(void)
EXTERNAL:000000e6	NTOSKRNL.EXE::RtlInitUnicodeString	undefined RtlInitUnicodeString(void)
EXTERNAL:000000e7	NTOSKRNL.EXE::MmGetSystemRoutineAddress	undefined MmGetSystemRoutineAddress(void)
EXTERNAL:000000e8	NTOSKRNL.EXE::VerSetConditionMask	undefined VerSetConditionMask(void)
EXTERNAL:000000e9	NTOSKRNL.EXE::RtlGetVersion	undefined RtlGetVersion(void)
EXTERNAL:000000ea	NTOSKRNL.EXE::RtlVerifyVersionInfo	undefined RtlVerifyVersionInfo(void)
EXTERNAL:000000eb	NTOSKRNL.EXE::ExFreePoolWithTag	undefined ExFreePoolWithTag(void)
EXTERNAL:000000ec	NTOSKRNL.EXE::ExInitializeNPagedLookasideList	undefined ExInitializeNPagedLookasideList(void)
EXTERNAL:000000ed	NTOSKRNL.EXE::ExDeleteNPagedLookasideList	undefined ExDeleteNPagedLookasideList(void)
EXTERNAL:000000ee	NTOSKRNL.EXE::ExInitializePagedLookasideList	undefined ExInitializePagedLookasideList(void)
EXTERNAL:000000ef	NTOSKRNL.EXE::ExDeletePagedLookasideList	undefined ExDeletePagedLookasideList(void)
EXTERNAL:000000f0	NTOSKRNL.EXE::ExInitializeResourceLite	undefined ExInitializeResourceLite(void)
EXTERNAL:000000f1	NTOSKRNL.EXE::ExAcquireResourceSharedLite	undefined ExAcquireResourceSharedLite(void)
EXTERNAL:000000f2	NTOSKRNL.EXE::ExReleaseResourceLite	undefined ExReleaseResourceLite(void)
EXTERNAL:000000f3	NTOSKRNL.EXE::ExDeleteResourceLite	undefined ExDeleteResourceLite(void)
EXTERNAL:000000f4	NTOSKRNL.EXE::MmIsDriverVerifyingByAddress	undefined MmIsDriverVerifyingByAddress(void)
EXTERNAL:000000f5	NTOSKRNL.EXE::RtlAppendUnicodeStringToString	undefined RtlAppendUnicodeStringToString(void)
EXTERNAL:000000f6	NTOSKRNL.EXE::RtlAppendUnicodeToString	undefined RtlAppendUnicodeToString(void)
EXTERNAL:000000f7	NTOSKRNL.EXE::KdRefreshDebuggerNotPresent	undefined KdRefreshDebuggerNotPresent(void)
EXTERNAL:000000f8	NTOSKRNL.EXE::ExAllocatePoolWithTag	undefined ExAllocatePoolWithTag(void)
EXTERNAL:000000f9	NTOSKRNL.EXE::MmMapLockedPagesSpecifyCache	undefined MmMapLockedPagesSpecifyCache(void)
EXTERNAL:000000fa	NTOSKRNL.EXE::KeBugCheck	noreturn undefined KeBugCheck(void)
EXTERNAL:000000fb	NTOSKRNL.EXE::RtlCopySid	undefined RtlCopySid(void)
EXTERNAL:000000fc	NTOSKRNL.EXE::SeQueryInformationToken	undefined SeQueryInformationToken(void)
EXTERNAL:000000fd	NTOSKRNL.EXE::PsDereferenceImpersonationToken	undefined PsDereferenceImpersonationToken(void)
EXTERNAL:000000fe	NTOSKRNL.EXE::RtlInitAnsiString	undefined RtlInitAnsiString(void)
EXTERNAL:000000ff	NTOSKRNL.EXE::RtlAnsiStringToUnicodeString	undefined RtlAnsiStringToUnicodeString(void)
EXTERNAL:00000100	NTOSKRNL.EXE::RtlEqualUnicodeString	undefined RtlEqualUnicodeString(void)
EXTERNAL:00000101	NTOSKRNL.EXE::RtlFreeUnicodeString	undefined RtlFreeUnicodeString(void)
EXTERNAL:00000102	NTOSKRNL.EXE::InitializeSListHead	void __stdcall InitializeSListHead(PSLIST_HEADER ListHead)
EXTERNAL:00000103	NTOSKRNL.EXE::ExAllocateFromPagedLookasideList	undefined ExAllocateFromPagedLookasideList(void)
EXTERNAL:00000104	NTOSKRNL.EXE::ExFreeToPagedLookasideList	undefined ExFreeToPagedLookasideList(void)
