address	type	length	references	value
1803dd370	string	40	0	port should be present during rundown-
1803dd398	string	28	0	PendingNotificationsDropped
1803dd3b4	string	13	0	DroppedCount
1803dd408	string	88	0	internal error: entered unreachable code: only the worker thread sets TerminateReady
1803dd898	string	68	2	shouldn't run out of event object IDslib\src\event_object\mod.rs
1803dd9a8	string	28	2	lib\src\event\args\token.rs
1803dd9f8	string	30	4	lib\src\event\args\process.rs
1803dda90	string	68	0	rundown is not called concurrentlylib\src\client\object_table.rs
1803ddb58	string	100	1	assertion failed: self.unique_table.insert(unique_key, new_index).is_none()crates\bdd\src\apply.rs
1803ddcb0	string	552	1	GuidVirusInfectedAccessDeniedNotFoundBadImageBadImageBootCriticalObjectCollisionVersionMismatchNullBufferBufferReadFailedNumericalValueReadBinaryValueReadInvalidNumericTransformTypeClientNotConnectedContextKeyTooLargeQuotaExceededObjectNameCollisionNotificationNotFoundInvalidParameterInvalidStateTransitionTooLateUnsuccessfulDisconnectedCustomPersistInvalidMemoryThresholdPercentInvalidRecoveryThresholdPercentStateChangePortAlreadySetDuplicateEventIdIntegerOverflowNotificationBuilderClientTableremove/replace can't faillib\src\context_key\mod.rs
1803ddef0	string	27	1	replacement key must exist
1803ddf28	string	88	1	Memory usage should not underflow when rolling backlib\src\event_queue\in_flight\mod.rs
1803de226	string	110	1	incoming client names are never emptyincoming client altitudes are never emptylib\src\persistence\loader.rs
1803de2c8	string	124	0	internal error: entered unreachable code: ForceAllow is an internal action and should not be persistedlib\src\rule\mod.rs
1803de360	string	64	1	to_schema must only be called on rules with persisted lifetimes
1803de3b8	string	120	1	internal error: entered unreachable code: all subrules should be resolved after finalize_subruleslib\src\rule\table.rs
1803de448	string	13	4	entry exists
1803de488	string	103	1	internal error: entered unreachable code: Rule action should be MatchSubrules since subrules() is Some
1803de520	string	99	1	internal error: entered unreachable code: rule is in unresolved_ids but has no Unresolved subrules
1803de5b8	string	23	1	lib\src\rule\client.rs
1803de648	string	25	18	lib\src\event\fs\file.rs
1803de6d0	string	180	2	NoActionAllowBlockreasonProcessIdLookupThreadIdLookupFetchRegistryPathGetRegistryKeyObjectIdOpenFileObjectRegistryKeyObjectNotAvailableRuleEngineEventArgumentNotImplementedOther
1803de840	string	24	1	lib\src\event\thread.rs
1803de8a0	string	25	2	lib\src\event\fs\pipe.rs
1803de908	string	34	2	lib\src\dispatcher\correlation.rs
1803de92a	string	25	8	lib\src\event\process.rs
1803de9a8	unicode	36	0	WESP://Permission
1803dea00	string	88	2	lib\src\dispatcher\mod.rsCm passes valid security descriptorslib\src\dispatcher\mod.rs
1803deae8	string	40	42	current thread can always be referenced
1803deb5b	string	29	0	DispatchEvent_ProcessCreated
1803deb78	string	11	0	ActivityId
1803deb84	string	6	0	Error
1803deb8b	string	16	0	#ErrorTruncated
1803deba2	string	6	0	#Line
1803debc3	string	29	0	DispatchEvent_ProcessCreated
1803debe0	string	11	0	ActivityId
1803debec	string	12	0	Disposition
1803debfd	string	29	0	DispatchEvent_ProcessCreated
1803dec1a	string	11	0	ActivityId
1803dec26	string	12	0	CommandLine
1803dece0	string	66	2	Filter manager is expected to provide a valid security descriptor
1803df508	string	33	2	lib\src\event\args\filestream.rs
1803df610	string	27	3	lib\src\event\args\file.rs
1803df648	string	35	1	stream_names cache populated above
1803df6c0	string	27	1	lib\src\event\args\pipe.rs
1803df6f8	string	29	5	lib\src\event\args\thread.rs
1803df7b0	string	31	1	lib\src\event\args\mailslot.rs
1803df7e8	string	27	4	lib\src\event\fs\volume.rs
1803df928	string	29	2	lib\src\event\fs\mailslot.rs
