address	size	name	signature	thunk	external	noreturn
1800bb620	97	wil::details::GetLastErrorFail	ulong __cdecl GetLastErrorFail(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6)	false	false	false
1800bb688	22	wil::details::RecordReturn	int __cdecl RecordReturn(long param_1)	false	false	false
1800bb6a4	774	wil::details::ReportFailure_Return<2>	void __cdecl ReportFailure_Return<2>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9, FailureFlags param_10)	false	false	false
1800bb9b4	72	wil::details::ReportFailure_Base<2,0>	void __cdecl ReportFailure_Base<2,0>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9, FailureFlags param_10)	false	false	false
1800bba04	92	wil::details::ReportFailure_Hr<2>	void __cdecl ReportFailure_Hr<2>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, long param_7, FailureFlags param_8)	false	false	false
1800bba68	22	wil::details::RecordLog	int __cdecl RecordLog(long param_1)	false	false	false
1800bba90	12	wil::details::RecordFailFast	int __cdecl RecordFailFast(long param_1)	false	false	false
1800bbaa4	8	wil::details::in1diag3::_FailFastImmediate_Unexpected	noreturn void __cdecl _FailFastImmediate_Unexpected(void)	false	false	true
1800bbab4	8	__local_stdio_printf_options	__uint64 * __fastcall __local_stdio_printf_options(void)	false	false	false
1800bbac4	211	wil::details::LogStringPrintf	wchar_t * __cdecl LogStringPrintf(wchar_t * param_1, wchar_t * param_2, wchar_t * param_3, ...)	false	false	false
1800bbba0	694	wil::GetFailureLogString	long __cdecl GetFailureLogString(wchar_t * param_1, __uint64 param_2, FailureInfo * param_3)	false	false	false
1800bbe5c	35	wil::details::WilRaiseFailFastException	void __cdecl WilRaiseFailFastException(_EXCEPTION_RECORD * param_1, _CONTEXT * param_2, ulong param_3)	false	false	false
1800bbe88	167	wil::details::WilFailFast	noreturn void __cdecl WilFailFast(FailureInfo * param_1)	false	false	true
1800bbf38	618	wil::details::ReportFailure_NoReturn<3>	void __cdecl ReportFailure_NoReturn<3>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9)	false	false	false
1800bc1ac	36	wil::details::ReportFailure_Base<3,0>	void __cdecl ReportFailure_Base<3,0>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9, FailureFlags param_10)	false	false	false
1800bc1d8	447	wil::details::HrToNtStatus	long __cdecl HrToNtStatus(long param_1)	false	false	false
1800bc3a0	36	wil::details::ResultStatus::FromResult	ResultStatus __cdecl FromResult(long param_1)	false	false	false
1800bc3cc	119	wil::details::ReportFailure_GetLastError<3>	ulong __cdecl ReportFailure_GetLastError<3>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6)	false	false	false
1800bc44c	20	wil::details::in1diag3::_FailFast_GetLastError	noreturn void __cdecl _FailFast_GetLastError(void * param_1, uint param_2, char * param_3)	false	false	true
1800bc468	50	std::exception::exception	undefined __thiscall exception(exception * this, exception * param_1)	false	false	false
