address	name	signature
EXTERNAL:00000016	KERNEL32.DLL::CreateSemaphoreExW	HANDLE __stdcall CreateSemaphoreExW(LPSECURITY_ATTRIBUTES lpSemaphoreAttributes, LONG lInitialCount, LONG lMaximumCount, LPCWSTR lpName, DWORD dwFlags, DWORD dwDesiredAccess)
EXTERNAL:00000017	KERNEL32.DLL::WaitForSingleObjectEx	DWORD __stdcall WaitForSingleObjectEx(HANDLE hHandle, DWORD dwMilliseconds, BOOL bAlertable)
EXTERNAL:00000018	KERNEL32.DLL::GetModuleFileNameA	DWORD __stdcall GetModuleFileNameA(HMODULE hModule, LPSTR lpFilename, DWORD nSize)
EXTERNAL:00000019	KERNEL32.DLL::GetModuleHandleExW	BOOL __stdcall GetModuleHandleExW(DWORD dwFlags, LPCWSTR lpModuleName, HMODULE * phModule)
EXTERNAL:0000001a	KERNEL32.DLL::DisableThreadLibraryCalls	BOOL __stdcall DisableThreadLibraryCalls(HMODULE hLibModule)
EXTERNAL:0000001b	KERNEL32.DLL::HeapFree	BOOL __stdcall HeapFree(HANDLE hHeap, DWORD dwFlags, LPVOID lpMem)
EXTERNAL:0000001c	KERNEL32.DLL::DebugBreak	void __stdcall DebugBreak(void)
EXTERNAL:0000001d	KERNEL32.DLL::OpenSemaphoreW	HANDLE __stdcall OpenSemaphoreW(DWORD dwDesiredAccess, BOOL bInheritHandle, LPCWSTR lpName)
EXTERNAL:0000001e	KERNEL32.DLL::ReleaseSemaphore	BOOL __stdcall ReleaseSemaphore(HANDLE hSemaphore, LONG lReleaseCount, LPLONG lpPreviousCount)
EXTERNAL:0000001f	KERNEL32.DLL::WaitForSingleObject	DWORD __stdcall WaitForSingleObject(HANDLE hHandle, DWORD dwMilliseconds)
EXTERNAL:00000020	KERNEL32.DLL::QueryUnbiasedInterruptTime	BOOL __stdcall QueryUnbiasedInterruptTime(PULONGLONG UnbiasedTime)
EXTERNAL:00000021	KERNEL32.DLL::CancelThreadpoolIo	void __stdcall CancelThreadpoolIo(PTP_IO pio)
EXTERNAL:00000022	KERNEL32.DLL::StartThreadpoolIo	void __stdcall StartThreadpoolIo(PTP_IO pio)
EXTERNAL:00000023	KERNEL32.DLL::FormatMessageW	DWORD __stdcall FormatMessageW(DWORD dwFlags, LPCVOID lpSource, DWORD dwMessageId, DWORD dwLanguageId, LPWSTR lpBuffer, DWORD nSize, va_list * Arguments)
EXTERNAL:00000024	KERNEL32.DLL::CreateThreadpoolIo	PTP_IO __stdcall CreateThreadpoolIo(HANDLE fl, PTP_WIN32_IO_CALLBACK pfnio, PVOID pv, PTP_CALLBACK_ENVIRON pcbe)
EXTERNAL:00000025	KERNEL32.DLL::SetThreadpoolThreadMaximum	void __stdcall SetThreadpoolThreadMaximum(PTP_POOL ptpp, DWORD cthrdMost)
EXTERNAL:00000026	KERNEL32.DLL::GetSystemInfo	void __stdcall GetSystemInfo(LPSYSTEM_INFO lpSystemInfo)
EXTERNAL:00000027	KERNEL32.DLL::CreateThreadpool	PTP_POOL __stdcall CreateThreadpool(PVOID reserved)
EXTERNAL:00000028	KERNEL32.DLL::PostQueuedCompletionStatus	BOOL __stdcall PostQueuedCompletionStatus(HANDLE CompletionPort, DWORD dwNumberOfBytesTransferred, ULONG_PTR dwCompletionKey, LPOVERLAPPED lpOverlapped)
EXTERNAL:00000029	KERNEL32.DLL::GetCurrentProcess	HANDLE __stdcall GetCurrentProcess(void)
EXTERNAL:0000002a	KERNEL32.DLL::DuplicateHandle	BOOL __stdcall DuplicateHandle(HANDLE hSourceProcessHandle, HANDLE hSourceHandle, HANDLE hTargetProcessHandle, LPHANDLE lpTargetHandle, DWORD dwDesiredAccess, BOOL bInheritHandle, DWORD dwOptions)
EXTERNAL:0000002b	KERNEL32.DLL::CreateIoCompletionPort	HANDLE __stdcall CreateIoCompletionPort(HANDLE FileHandle, HANDLE ExistingCompletionPort, ULONG_PTR CompletionKey, DWORD NumberOfConcurrentThreads)
EXTERNAL:0000002c	KERNEL32.DLL::CloseThreadpool	void __stdcall CloseThreadpool(PTP_POOL ptpp)
EXTERNAL:0000002d	KERNEL32.DLL::AcquireSRWLockShared	void __stdcall AcquireSRWLockShared(PSRWLOCK SRWLock)
EXTERNAL:0000002e	KERNEL32.DLL::ReleaseSRWLockShared	void __stdcall ReleaseSRWLockShared(PSRWLOCK SRWLock)
EXTERNAL:0000002f	KERNEL32.DLL::CloseThreadpoolIo	void __stdcall CloseThreadpoolIo(PTP_IO pio)
